Date,Store / Outlet,item name,Category,Receipt Price ($),Weight / Qty,Unit,Normalized Unit Price ($),Std Unit
2026-07-26, New India Bazar, VERKA PANEER 284GM, Dairy,5.49,284, GM,1.93, per 100g
2026-07-26, New India Bazar, CILANTRO, Produce,0.58,2, EA,0.29, per unit
2026-07-26, New India Bazar, BELLPEPPER GREEN, Produce,1.88,1.9, LB,0.99, per lb
2026-07-26, New India Bazar, CURRY/NEEM LEAVES, Produce,1,1, EA,1, per unit
2026-07-26, New India Bazar, POTATO WHITE SMALL, Produce,1.42,1.43, LB,0.99, per lb
2026-07-26, New India Bazar, TOMATOES ROMA, Produce,1.11,1.41, LB,0.79, per lb
2026-07-26, New India Bazar, INDIAN OKRA, Produce,3.03,1.05, LB,2.89, per lb
2026-07-26, New India Bazar, SUJATA GOLD ATTA 10LB, Grains / Flours,9.49,10, LB,0.95, per lb
2026-07-26, New India Bazar, ONION YELLOW, Produce,0.6,1.02, LB,0.59, per lb
2026-07-26, New India Bazar, GINGER, Produce,0.27,0.18, LB,1.49, per lb
2026-07-26, New India Bazar, ATUL CHEEZE KHAKHRA 200GM, Snacks,2.29,200, GM,1.15, per 100g
2026-07-31, Costco, ORG MEDITERR, Grocery / Packaged Foods,8.99,1, EA,8.99, per unit
2026-07-31, Costco, KS ORG A2 PR, Dairy,14.39,1, EA,14.39, per unit
2026-07-31, Costco, ADIDAS FLEX, Apparel / Shoes,19.97,1, EA,19.97, per unit
2026-07-31, Costco, ADIDAS SNKR, Apparel / Shoes,19.97,1, EA,19.97, per unit
2026-08-01, Apni Mandi, DEEP UPVAS SABUDANA TAPIOCA PEARLS, Grains / Flours,3.99,1, EA,3.99, per unit
2026-08-01, Apni Mandi, Beetroot per lb, Produce,0.13,0.15, LB,0.89, per lb
2026-08-01, Apni Mandi, Roma Tomato per lb, Produce,1.46,1.64, LB,0.89, per lb
2026-08-01, Apni Mandi, Verka Paneer 10 Oz, Dairy,5.79,10, OZ,0.58, per oz
2026-08-01, Apni Mandi, Vadilal Mango Dolly, Frozen Foods,2.99,1, EA,2.99, per unit
2026-08-01, Apni Mandi, Methi Bunch ea, Produce,1.19,1, EA,1.19, per unit
2026-08-01, Apni Mandi, Amul Cheese Chiplet 200G, Dairy,6.49,200, GM,3.25, per 100g
2026-08-01, Apni Mandi, Orange Bell Pepper Per Lb, Produce,0.77,0.43, LB,1.79, per lb
2026-08-01, Apni Mandi, Persian Cucumber Per Lb, Produce,0.21,0.19, LB,1.09, per lb
2026-08-01, Apni Mandi, Hot Indian Long Chilli Per Lb, Produce,0.07,0.03, LB,2.29, per lb
2026-08-01, Apni Mandi, Yellow Onion per lb, Produce,0.6,0.87, LB,0.69, per lb
2026-08-01, Apni Mandi, White Potato Big per lb, Produce,1.44,1.12, LB,1.29, per lb
2026-08-01, Apni Mandi, Fresh Ginger per lb, Produce,0.14,0.14, LB,0.99, per lb
2026-08-01, Apni Mandi, Paper bag, Household,0.2,1, EA,0.2, per unit
2026-07-30, Walmart, MS 6 PLANTER, Lawn & Garden / Home,1.78,1, EA,1.78, per unit
2026-07-30, Walmart, MS 6 PLANTER, Lawn & Garden / Home,1.78,1, EA,1.78, per unit
2026-07-30, Walmart, ROV HE AAA8, Household,6.97,1, EA,6.97, per unit
2026-07-30, Walmart, AMSP ZINNIA, Lawn & Garden / Home,0.5,1, EA,0.5, per unit
2026-07-30, Walmart, RIBBON, Office Supplies / Crafts,0.77,1, EA,0.77, per unit
2026-07-30, Walmart, WASH ANYWHER, Personal Care / Beauty,9.97,1, EA,9.97, per unit
2026-08-01, Safeway, SIG BLACK BEANS, Pantry / Canned Goods,1.99,1, EA,1.99, per unit
2026-08-01, Safeway, TOSTITOS CANTINA T, Snacks,4.29,1, EA,4.29, per unit
2026-08-01, Safeway, FAJITAS MIX, Produce,1.99,1, EA,1.99, per unit
2026-08-01, Safeway, LA VICTORIA SALSA, Condiments,2.99,1, EA,2.99, per unit
2026-08-01, Safeway, LUC CHES MEX NACHO, Dairy,3.99,1, EA,3.99, per unit
2026-08-01, Safeway, DAISY SOUR CREAM, Dairy,2.49,1, EA,2.49, per unit
2026-08-01, Safeway, ICEBERG LETTUCE, Produce,2.99,1, EA,2.99, per unit
2026-08-01, Safeway, MED HASS AVOCADOS, Produce,2,1, EA,2, per unit
2026-08-06, Bharat Bazar, RAKHI, Miscellaneous / Festivities,1.98,2, EA,0.99, per unit
2026-08-06, Bharat Bazar, FS CHITALE BAKARWADI, Snacks,3.49,1, EA,3.49, per unit
2026-08-06, Hot Breads, Pav Bread, Bakery,13.5,3, EA,4.5, per unit
2026-08-06, Costco, PANI PURI, Grocery / Packaged Foods,6.89,1, EA,6.89, per unit
2026-08-06, Costco, MASALA ROTI, Grocery / Packaged Foods,5.99,1, EA,5.99, per unit
2026-08-06, Costco, ORG CHAPATI, Grocery / Packaged Foods,9.79,1, EA,9.79, per unit
2026-08-06, Costco, DNSKNLEGGING, Apparel / Clothing,9.99,1, EA,9.99, per unit
2026-08-10, New India Bazar, TOMATO ROUND, Produce,1.31,1.32, LB,0.99, per lb
2026-08-10, New India Bazar, POTATO WHITE SMALL, Produce,1.78,1.38, LB,1.29, per lb
2026-08-10, New India Bazar, ONION RED, Produce,0.54,0.55, LB,0.99, per lb
2026-08-10, New India Bazar, GINGER, Produce,0.28,0.19, LB,1.49, per lb
2026-08-10, New India Bazar, CILANTRO, Produce,0.39,1, EA,0.39, per unit
2026-08-10, New India Bazar, CHILLI THAI, Produce,0.24,0.08, LB,2.99, per lb
2026-08-10, New India Bazar, CUCUMBER, Produce,0.59,1, EA,0.59, per unit
2026-08-10, New India Bazar, PICKLE PERSIAN, Produce,0.2,0.2, LB,0.99, per lb
2026-08-10, New India Bazar, LIME, Produce,0.2,1, EA,0.2, per unit
2026-08-10, New India Bazar, PARLE KRACKJACK VALUE PACK (264GM), Snacks,1.99,264, GM,0.75, per 100g
2026-08-10, New India Bazar, VEER BESAN 2LB, Grains / Flours,3.49,2, LB,1.75, per lb
2026-08-10, New India Bazar, GARLIC, Produce,1.88,0.47, LB,3.99, per lb
2026-08-10, New India Bazar, BELLPEPPER GREEN, Produce,0.67,0.75, LB,0.89, per lb
2026-08-10, New India Bazar, NIB ANJEER FIGS 12OZ, Snacks / Dry Fruits,12.99,12, OZ,1.08, per oz
2026-08-10, New India Bazar, NIB RAW PEANUT GOTA, Pantry / Nuts,5.63,1, EA,5.63, per unit
2026-08-10, New India Bazar, BEAN GREEN, Produce,1.09,1.1, LB,0.99, per lb
2026-08-10, New India Bazar, SPINACH BAG SMALL, Produce,2.29,1, EA,2.29, per unit
2026-08-10, New India Bazar, VEER POHA MEDIUM 2LB, Grains / Flours,2.99,2, LB,1.5, per lb
2026-08-14, Costco, KS ORG A2 PR, Dairy,14.39,1, EA,14.39, per unit
2026-08-14, Costco, KS ORG CSHW, Pantry / Nuts,17.49,1, EA,17.49, per unit
2026-08-16, New India Bazar, NIB PIZZA BASE, Bakery,4.49,1, EA,4.49, per unit
2026-08-16, New India Bazar, DEEP TANDOORI NAAN 5PCS 375GM, Bakery / Frozen,3.5,375, GM,0.93, per 100g
2026-08-16, New India Bazar, METHI, Produce,2.49,1, EA,2.49, per unit
2026-08-16, New India Bazar, TOMATO ROUND, Produce,1.46,1.85, LB,0.79, per lb
2026-08-16, New India Bazar, VERKA PANEER 284GM (10OZ), Dairy,5.49,10, OZ,0.55, per oz
2026-08-16, New India Bazar, CILANTRO, Produce,0.39,1, EA,0.39, per unit
2026-08-16, New India Bazar, CARROT, Produce,0.3,0.3, LB,0.99, per lb
2026-08-16, New India Bazar, ONION RED, Produce,1.09,1.1, LB,0.99, per lb
2026-08-16, New India Bazar, INDIAN OKRA, Produce,2.46,0.85, LB,2.89, per lb
2026-08-16, New India Bazar, PARLE KRACKJACK VALUE PACK (264GM), Snacks,1.99,264, GM,0.75, per 100g
2026-08-16, New India Bazar, RAMEN MASALA ONE SACHET, Spices / Pantry,1.77,3, EA,0.59, per unit
2026-08-16, New India Bazar, POTATO WHITE SMALL, Produce,2.23,1.73, LB,1.29, per lb
2026-08-16, New India Bazar, RAMEN MASALA NOODLES 280G, Grocery / Packaged Foods,2.99,280, GM,1.07, per 100g
2026-08-16, New India Bazar, VEER/AME GUJARATI SOOJI FINE (SEMOLINA) 908GM, Grains / Flours,3.49,908, GM,0.38, per 100g
2026-08-16, New India Bazar, CURRY/NEEM LEAVES, Produce,1,1, EA,1, per unit
2026-08-16, New India Bazar, VEER ALOO BHUJIA 400GM, Snacks,3.99,400, GM,1, per 100g
2026-08-16, New India Bazar, PAPER BAG, Household / Bags,0.2,2, EA,0.1, per unit
2026-08-16, Walmart, PIZZA SAUCE, Pantry / Condiments,2.97,1, EA,2.97, per unit
2026-08-16, Walmart, PRG GAR 24, Pantry / Condiments,2.48,24, OZ,0.1, per oz
2026-08-16, Walmart, FW PORT OPEN, Household / Kitchenware,7.44,1, EA,7.44, per unit
2026-08-16, Walmart, TBC CL WV 24, Cleaning / Household,2.96,24, OZ,0.12, per oz
2026-08-16, Walmart, PB AP 2LB, Produce,2.26,2, LB,1.13, per lb
2026-08-16, Walmart, GV ROTINI 16, Pantry / Pasta,1.24,16, OZ,0.08, per oz
2026-08-16, Walmart, GV MOZZSH 8, Dairy / Cheese,1.97,8, OZ,0.25, per oz
2026-08-16, Walmart, MG POMIX 8QT, Lawn & Garden / Home,5.37,1, EA,5.37, per unit
2026-08-16, Walmart, CKOUT BAGFEE, Household / Bags,0.1,1, EA,0.1, per unit
2026-08-16, Costco, 50 HANGERS, Household / Apparel,8.99,50, EA,0.18, per unit
2026-08-16, Costco, YELLOW MINI, Grocery / Snacks,3.99,1, EA,3.99, per unit
2026-08-23, New India Bazar, METHI, Produce,4.98,2, EA,2.49, per unit
2026-08-23, New India Bazar, ONION RED, Produce,0.93,1.58, LB,0.59, per lb
2026-08-23, New India Bazar, CILANTRO, Produce,1.17,3, EA,0.39, per unit
2026-08-23, New India Bazar, SPINACH BAG SMALL, Produce,2.29,1, EA,2.29, per unit
2026-08-23, New India Bazar, SURATI SHREDDED COCONUT 340GM, Pantry / Frozen,2.79,340, GM,0.82, per 100g
2026-08-23, New India Bazar, NANAK FROZEN RASMALAI 20PS, Frozen Foods / Desserts,13.99,20, EA,0.7, per unit
2026-08-23, New India Bazar, TOMATO ROUND, Produce,1.09,1.1, LB,0.99, per lb
2026-08-23, New India Bazar, POTATO WHITE BIG, Produce,1.48,1.49, LB,0.99, per lb
2026-08-23, New India Bazar, EVEREST TIKHALAL CHILLI PWD 100GM, Spices,1.99,100, GM,1.99, per 100g
2026-08-23, New India Bazar, CHILLI THAI, Produce,0.16,0.11, LB,1.49, per lb
2026-08-23, New India Bazar, LIME, Produce,0.4,2, EA,0.2, per unit
2026-08-23, New India Bazar, VEER TOOR DAL 2LB, Grains / Pulses,3.99,2, LB,2, per lb
2026-08-23, New India Bazar, MTR PULIOGARE PASTE 200GM, Pantry / Condiments,2.99,200, GM,1.5, per 100g
2026-08-23, New India Bazar, SABAH ORGANIC SUNFLOWER OIL 1LTR, Pantry / Oils,7.99,1, L,7.99, per L
2026-08-23, New India Bazar, GINGER, Produce,0.12,0.18, LB,0.69, per lb
2026-08-23, New India Bazar, MTR VERMICELLI 440GM, Grains / Pasta,2.49,440, GM,0.57, per 100g
2026-08-23, New India Bazar, MORTON IODIZED SALT 737GM, Pantry,1.79,737, GM,0.24, per 100g
2026-08-23, New India Bazar, VERKA ORGANIC PANEER 10OZ, Dairy,8.99,10, OZ,0.9, per oz
